rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.4,1,4,0.6,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,4,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.5,1,4,0.8,11,ffc
4,Ja'Marr Chase,WR,CIN,4.0,1,7,0.9,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.1,3,7,0.9,11,ffc
6,Christian McCaffrey,RB,SF,5.8,3,10,1.3,8,ffc
7,Jonathan Taylor,RB,IND,6.6,3,10,1.5,13,ffc
8,Amon-Ra St. Brown,WR,DET,8.0,5,13,1.6,6,ffc
9,De'Von Achane,RB,MIA,9.4,5,13,1.6,6,ffc
10,Drake London,WR,ATL,10.6,6,13,1.4,11,ffc
11,Derrick Henry,RB,BAL,10.8,5,16,2.1,13,ffc
12,James Cook III,RB,BUF,11.2,5,18,2.3,7,ffc
13,Rashee Rice,WR,KC,12.6,10,16,2.0,5,ffc
14,CeeDee Lamb,WR,DAL,13.2,6,21,2.6,14,ffc
15,Justin Jefferson,WR,MIN,14.5,8,21,2.5,6,ffc
16,Ashton Jeanty,RB,LV,15.3,7,21,2.9,13,ffc
17,Chase Brown,RB,CIN,16.5,10,23,2.6,6,ffc
18,Saquon Barkley,RB,PHI,16.7,7,25,3.4,10,ffc
19,A.J. Brown,WR,NE,19.2,12,28,2.6,11,ffc
20,George Pickens,WR,DAL,20.7,15,27,2.4,14,ffc
21,Omarion Hampton,RB,LAC,21.5,12,29,3.6,7,ffc
22,Josh Jacobs,RB,GB,21.9,17,28,2.1,11,ffc
23,Chris Olave,WR,NO,22.9,16,28,2.5,8,ffc
24,Nico Collins,WR,HOU,22.9,15,31,2.9,8,ffc
25,Josh Allen,QB,BUF,25.7,12,35,4.9,7,ffc
26,Zay Flowers,WR,BAL,25.7,21,30,2.2,13,ffc
27,Breece Hall,RB,NYJ,25.9,20,31,2.9,13,ffc
28,Kenneth Walker III,RB,KC,26.1,14,37,4.4,5,ffc
29,Jeremiyah Love,RB,ARI,27.8,18,34,3.5,14,ffc
30,Garrett Wilson,WR,NYJ,29.4,25,36,2.5,13,ffc
31,Kyren Williams,RB,LAR,31.0,21,39,3.8,11,ffc
32,Cam Skattebo,RB,NYG,31.4,22,40,3.3,8,ffc
33,DeVonta Smith,WR,PHI,32.5,23,46,3.8,10,ffc
34,Emeka Egbuka,WR,TB,33.2,24,43,3.8,10,ffc
35,Malik Nabers,WR,NYG,35.2,23,48,4.6,8,ffc
36,Javonte Williams,RB,DAL,35.5,26,44,3.6,14,ffc
37,Tetairoa McMillan,WR,CAR,35.9,26,43,3.5,5,ffc
38,Travis Etienne Jr.,RB,NO,38.6,30,52,3.7,8,ffc
39,Tee Higgins,WR,CIN,39.0,31,48,3.6,6,ffc
40,Davante Adams,WR,LAR,39.5,30,50,3.4,11,ffc
41,Jameson Williams,WR,DET,41.1,32,45,3.6,6,ffc
42,Bucky Irving,RB,TB,41.2,30,51,4.3,10,ffc
43,Terry McLaurin,WR,WAS,42.4,33,54,3.5,7,ffc
44,D'Andre Swift,RB,CHI,43.3,30,53,5.1,10,ffc
45,Trey McBride,TE,ARI,44.1,20,61,9.2,14,ffc
46,Rome Odunze,WR,CHI,44.6,33,57,4.4,10,ffc
47,Brock Bowers,TE,LV,45.1,19,66,10.0,13,ffc
48,Ladd McConkey,WR,LAC,47.8,32,64,5.9,7,ffc
49,Quinshon Judkins,RB,CLE,47.9,33,61,5.4,11,ffc
50,Alec Pierce,WR,IND,48.0,40,57,3.9,13,ffc
51,DJ Moore,WR,BUF,49.0,35,63,5.4,7,ffc
52,Bhayshul Tuten,RB,JAX,49.0,31,60,6.7,7,ffc
53,Drake Maye,QB,NE,49.0,34,59,6.3,11,ffc
54,Jaylen Waddle,WR,DEN,50.2,32,72,6.8,10,ffc
55,Lamar Jackson,QB,BAL,53.4,31,68,8.9,13,ffc
