rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,4,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,4,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.8,1,4,0.6,11,ffc
4,Ja'Marr Chase,WR,CIN,4.1,1,7,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.3,2,8,1.3,11,ffc
6,Jonathan Taylor,RB,IND,5.8,3,9,1.3,13,ffc
7,Christian McCaffrey,RB,SF,6.7,3,11,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.6,3,12,1.7,6,ffc
9,Drake London,WR,ATL,9.6,5,13,1.7,11,ffc
10,Derrick Henry,RB,BAL,10.0,5,15,1.8,13,ffc
11,De'Von Achane,RB,MIA,11.1,6,16,1.9,6,ffc
12,James Cook III,RB,BUF,11.7,5,20,2.9,7,ffc
13,CeeDee Lamb,WR,DAL,12.6,6,18,2.4,14,ffc
14,Rashee Rice,WR,KC,12.8,10,17,1.8,5,ffc
15,Ashton Jeanty,RB,LV,14.8,7,21,3.0,13,ffc
16,Justin Jefferson,WR,MIN,15.2,8,21,2.6,6,ffc
17,Chase Brown,RB,CIN,16.0,9,21,2.6,6,ffc
18,Saquon Barkley,RB,PHI,18.2,9,29,3.3,10,ffc
19,A.J. Brown,WR,NE,19.0,11,25,2.7,11,ffc
20,George Pickens,WR,DAL,19.5,14,27,2.4,14,ffc
21,Omarion Hampton,RB,LAC,21.9,11,32,4.0,7,ffc
22,Josh Jacobs,RB,GB,23.0,16,31,3.2,11,ffc
23,Chris Olave,WR,NO,23.3,17,29,2.4,8,ffc
24,Nico Collins,WR,HOU,23.3,15,31,2.9,8,ffc
25,Josh Allen,QB,BUF,24.8,5,43,7.4,7,ffc
26,Zay Flowers,WR,BAL,25.2,18,32,2.6,13,ffc
27,Kenneth Walker,RB,KC,26.4,15,37,4.1,5,ffc
28,Breece Hall,RB,NYJ,27.2,20,34,3.4,13,ffc
29,Jeremiyah Love,RB,ARI,29.3,18,38,4.2,14,ffc
30,Malik Nabers,WR,NYG,30.3,18,44,4.3,8,ffc
31,Garrett Wilson,WR,NYJ,30.9,21,39,3.4,13,ffc
32,Kyren Williams,RB,LAR,31.1,19,39,4.4,11,ffc
33,DeVonta Smith,WR,PHI,31.3,23,44,3.5,10,ffc
34,Emeka Egbuka,WR,TB,32.5,24,48,3.6,10,ffc
35,Cam Skattebo,RB,NYG,34.3,23,45,4.1,8,ffc
36,Javonte Williams,RB,DAL,36.0,25,45,4.1,14,ffc
37,Tetairoa McMillan,WR,CAR,36.2,27,45,3.5,5,ffc
38,Tee Higgins,WR,CIN,38.0,27,53,4.2,6,ffc
39,Davante Adams,WR,LAR,39.3,30,48,3.8,11,ffc
40,Travis Etienne Jr.,RB,NO,41.2,27,55,5.3,8,ffc
41,Jameson Williams,WR,DET,41.3,31,50,3.6,6,ffc
42,Terry McLaurin,WR,WAS,42.9,35,56,3.9,7,ffc
43,D'Andre Swift,RB,CHI,42.9,30,55,5.4,10,ffc
44,Trey McBride,TE,ARI,44.0,20,61,8.9,14,ffc
45,Rome Odunze,WR,CHI,44.8,37,60,3.9,10,ffc
46,Brock Bowers,TE,LV,44.8,16,65,11.0,13,ffc
47,Ladd McConkey,WR,LAC,44.9,31,63,5.2,7,ffc
