rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.9,1,4,0.5,11,ffc
4,Ja'Marr Chase,WR,CIN,4.1,1,7,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.4,2,8,1.3,11,ffc
6,Jonathan Taylor,RB,IND,5.9,3,10,1.3,13,ffc
7,Christian McCaffrey,RB,SF,6.7,3,11,1.5,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.6,3,12,1.5,6,ffc
9,James Cook III,RB,BUF,9.7,2,19,2.7,7,ffc
10,Derrick Henry,RB,BAL,10.5,7,15,1.5,13,ffc
11,Drake London,WR,ATL,11.3,6,15,1.9,11,ffc
12,De'Von Achane,RB,MIA,11.4,5,18,2.1,6,ffc
13,CeeDee Lamb,WR,DAL,12.6,6,18,2.3,14,ffc
14,Justin Jefferson,WR,MIN,14.4,7,20,2.5,6,ffc
15,Chase Brown,RB,CIN,14.9,8,21,2.6,6,ffc
16,Rashee Rice,WR,KC,15.6,10,20,2.5,5,ffc
17,Ashton Jeanty,RB,LV,15.6,8,23,2.9,13,ffc
18,Saquon Barkley,RB,PHI,18.1,9,28,3.3,10,ffc
19,A.J. Brown,WR,NE,18.8,11,25,2.8,11,ffc
20,George Pickens,WR,DAL,19.3,15,24,2.2,14,ffc
21,Nico Collins,WR,HOU,21.9,16,30,2.7,8,ffc
22,Omarion Hampton,RB,LAC,22.1,11,30,4.0,7,ffc
23,Kenneth Walker,RB,KC,23.5,11,36,4.5,5,ffc
24,Chris Olave,WR,NO,24.1,17,31,2.7,8,ffc
25,Zay Flowers,WR,BAL,24.5,18,31,2.5,13,ffc
26,Josh Jacobs,RB,GB,25.8,17,34,3.2,11,ffc
27,Malik Nabers,WR,NYG,27.9,18,44,3.5,8,ffc
28,Breece Hall,RB,NYJ,28.5,22,34,2.8,13,ffc
29,Kyren Williams,RB,LAR,28.5,19,39,3.6,11,ffc
30,Josh Allen,QB,BUF,29.5,12,43,6.6,7,ffc
31,Garrett Wilson,WR,NYJ,30.8,22,42,3.2,13,ffc
32,DeVonta Smith,WR,PHI,31.2,21,44,3.6,10,ffc
33,Jeremiyah Love,RB,ARI,32.1,19,45,4.7,14,ffc
34,Cam Skattebo,RB,NYG,34.9,24,46,4.1,8,ffc
35,Tetairoa McMillan,WR,CAR,35.0,24,43,4.2,5,ffc
36,Javonte Williams,RB,DAL,35.1,23,47,4.3,14,ffc
37,Tee Higgins,WR,CIN,35.3,23,53,4.5,6,ffc
38,Emeka Egbuka,WR,TB,36.7,23,54,5.3,10,ffc
39,Davante Adams,WR,LAR,37.4,27,48,3.6,11,ffc
40,Jameson Williams,WR,DET,39.4,28,50,4.2,6,ffc
41,Trey McBride,TE,ARI,40.5,20,59,7.7,14,ffc
42,Ladd McConkey,WR,LAC,41.8,29,63,4.8,7,ffc
43,Brock Bowers,TE,LV,42.5,16,62,10.1,13,ffc
44,Travis Etienne Jr.,RB,NO,42.7,28,55,5.3,8,ffc
45,D'Andre Swift,RB,CHI,43.3,30,59,6.7,10,ffc
46,Terry McLaurin,WR,WAS,43.9,36,58,4.1,7,ffc
47,Rome Odunze,WR,CHI,45.5,32,60,4.9,10,ffc
48,Jaylen Waddle,WR,DEN,46.9,34,65,6.0,10,ffc
